region,altitud_msnm,marca,tipo_vehiculo,año_fabricacion,antiguedad_años,kilometraje,ultimo_mantenimiento_dias,calidad_combustible,octanaje_estimado,contaminacion_agua_ppm,temperatura_motor_c,nivel_aceite,presion_neumaticos_psi,bateria_voltaje,estado_frenos,filtro_aire,tipo_via,condicion_via,temperatura_ambiente_c,falla_vehiculo
Cochabamba,2335.0,Suzuki,Pickup,1989.0,36.0,432391.0,19.0,Degradada,78.8,42.3,94.9,Bajo,30.4,11.53,Bueno,Obstruido,Ruta Interdepartamental,Mala,1.2,1
Trinidad,68.0,Hyundai,Sedán,,27.0,340315.0,108.0,Normal,85.4,3.1,97.6,Óptimo,35.8,12.16,Crítico,,Carretera Pavimentada,muy_mala,16.2,1
Santa Cruz,474.0,suzuki,Camión,1987.0,38.0,454300.0,3.0,Contaminado,70.8,,999.9,Óptimo,,,Crítico,Sucio,Ruta Interdepartamental,Regular,17.7,1
Sucre,2634.0,Mazda,,2009.0,16.0,209152.0,27.0,Normal,89.2,4.3,92.4,Bajo,,12.48,Regular,Sucio,Urbana,Regular,13.3,0
La Paz,3807.0,Mitsubishi,Camión,1998.0,27.0,399398.0,161.0,Degradada,80.4,,121.2,Óptimo,34.6,,Desgastado,Sucio,Carretera Pavimentada,Regular,22.3,1
La Paz,3629.0,Mitsubishi,Camioneta 4x4,1997.0,28.0,318530.0,42.0,Degradada,80.1,48.3,85.3,Óptimo,32.0,12.16,,,Ruta Interdepartamental,,14.1,0
La Paz,3653.0,Suzuki,Sedán,1985.0,40.0,542561.0,70.0,Normal,,3.8,,Óptimo,29.9,11.69,BUENO,Limpio,Carretera Pavimentada,Mala,5.3,0
Santa Cruz,-2837.6909579964513,Toyota,Camión,2011.0,14.0,156302.0,231.0,NORML,86.0,2.1,91.3,Óptimo,,12.44,Regular,Sucio,Ruta Interdepartamental,Muy Mala,9.8,0
Tarija,1982.0,Toyota,Sedán,1998.0,27.0,337668.0,5.0,,76.5,109.4,,Óptimo,25.4,10.66,Crítico,Sucio,Carretera Pavimentada,Muy Mala,18.0,0
Santa Cruz,533.0,Chevrolet,Camión,1997.0,28.0,355863.0,2.0,Normal,0.0,5.0,81.8,Muy Bajo,30.7,11.68,Desgastad,Sucio,Camino de Tierra,,13.1,0
La Paz,3690.0,Nissan,camioneta4x4,2008.0,17.0,268395.0,33.0,CONTAMINADA,72.0,86.5,110.2,Óptimo,36.4,13.12,Bueno,Sucio,Ruta Interdepartamental,Mala,2.3,0
Trinidad,322.0,Toyota,Camioneta 4x4,1986.0,39.0,594554.0,149.0,Normal,83.6,6.9,,Muy Bajo,33.1,11.31,,,Camino de Tierra,Mala,20.4,1
Santa Cruz,384.0,Toyota,Camioneta 4x4,1995.0,30.0,356166.0,35.0,,85.2,32.3,94.7,Óptimo,28.7,11.71,Desgastado,Sucio,Camino de Tierra,Regular,22.7,1
La Paz,3721.0,Suzuki,Pickup,2001.0,24.0,216053.0,,Normal,89.0,0.6,105.4,Bajo,35.1,11.68,regular,Limpio,,Mala,0.7,1
La Paz,3589.0,Ford,Minibús,1997.0,28.0,,56.0,Normal,88.7,1.0,107.6,Bajo,33.1,11.08,Crítico,Limpio,Ruta Interdepartamental,Muy Mala,16.3,1
La Paz,3640.0,,MiniBus,1990.0,35.0,325364.0,43.0,Normal,92.1,,89.8,Óptimo,28.4,,desgastado,,Urbana,Regular,7.3,0
Potosí,3926.0,Chevrolet,Pickup,1993.0,32.0,395536.0,34.0,Contaminada,75.5,136.4,104.9,bajo,37.7,11.48,,Limpio,Urbana,Muy Mala,-0.2,1
Cochabamba,62586.94347879187,Toyota,Camion,1993.0,,1746136.2502993909,110.0,Normal ,,9.9,84.9,Óptimo,24.6,12.29,Regular,Limpio,Camino de Tierra,Mala,13.6,1
Cochabamba,2455.0,Kia,Pickup,2023.0,2.0,19984.0,,Normal,85.5,4.3,91.5,Óptimo,30.9,12.3,regular,Sucio,Ruta Interdepartamental,Muy Mala,19.5,0
Potosí,4037.0,Mitsubisi,Sedán,1994.0,31.0,424403.0,,Normal,85.4,6.0,113.6,Óptimo,26.9,12.48,Desgastado,Obstruido,Camino de Tierra,Mala,8.4,1
Tarija,2063.0,Hyundai,SUV,1990.0,35.0,417346.0,37.0,Degradada,81.1,43.9,286.5422245324361,Optimo,36.2,11.92,Desgastado,Sucio,Carretera Pavimentada,muy mala,7.2,1
La Paz,3816.0,NISSAN,Camioneta 4x4,2011.0,14.0,,71.0,Normal,,0.0,106.8,Óptimo,,11.69,Regular,Limpio,Camino de Tierra,Regular,-2.0,0
Potosí,3779.0,Honda,SUV,1996.0,29.0,390130.0,305.0,NORML,89.9,6.1,,Bajo,26.4,10.22,,Sucio,Camino de Tierra,Regular,1.6,1
Cochabamba,2751.0,Honda,SUV,1997.0,28.0,382176.0,52.0,Normal,82.9,4.9,108.3,Óptimo,42.0,13.18,Bueno,Limpio,Camino de Tierra,Regular,10.1,1
Cochabamba,2510.0,Chevrolet,camioneta 4x4,2000.0,25.0,298146.0,138.0,Normal,89.8,0.3,74.5,Bajo,31.4,12.39,Desgastado,Sucio,Ruta Interdepartamental,Mala,24.2,1
Santa Cruz,506.0,ford,Camioneta 4x4,2002.0,23.0,213427.0,52.0,Normal,86.1,10.1,,OPTIMO,34.7,11.56,,Sucio,Ruta Interdepartamental,Regular,15.8,1
La Paz,3504.0,Toyota,Camión,2002.0,23.0,332251.0,146.0,normal,85.2,6.8,79.0,Óptimo,31.1,12.97,CRITICO,Sucio,Camino de Tierra,Buena,16.0,1
Cochabamba,2579.0,Mitusbishi,Sedán,1985.0,40.0,563511.0,276.0,Normal,88.1,0.0,85.5,Óptimo,29.4,11.75,Desgastado,Limpio,Carretera Pavimentada,Regular,,0
Sucre,2857.0,MITSUBISHI,SUV,2011.0,14.0,189307.0,118.0,Normal,89.4,,111.5,optimo,34.5,12.13,Regular,Limpio,Camino de Tierra,Mala,20.2,1
La Paz,3417.0,Chevrolet,Sedán,1990.0,35.0,422587.0,382.0,Normal,83.3,14.1,,Muy Bajo,30.9,13.24,Regular,Sucio,Carretera Pavimentada,Muy mala,27.4,1
Tarija,1957.0,Kia ,Pickup,,32.0,,119.0,Norml,87.7,5.0,92.2,Óptimo,27.7,12.25,Bueno,OBSTRUIDO,Carretera Pavimentada,Buena,20.1,0
La Paz,3842.0,Hyundai,Camioneta 4x4,1989.0,36.0,523433.0,478.0,Contaminada,63.9,140.7,114.6,Bajo,35.3,12.8,Crítico,obstruido,Carretera Pavimentada,Muy Mala,10.6,1
La Paz,3614.0,FORD,,2008.0,17.0,241502.0,167.0,Degradada,83.2,36.5,98.7,,36.6,13.16,Desgastado,LIMPIO,Carretera Pavimentada,Buena,18.0,1
Trinidad,441.0,Ford,Sedán,2001.0,24.0,325445.0,137.0,Norml,83.7,3.7,80.3,,34.7,,Regualr,Limpio,,,24.4,1
Trinidad,209.0,Mitsubishi,camioneta 4x4,2008.0,17.0,249717.0,230.0,Degragada,80.8,68.5,105.7,,34.8,11.69,Regular,Limpio,Ruta Interdepartamental,Buena,19.6,0
,543.0,Kia,camioneta 4x4,2004.0,21.0,280505.0,1.0,Normal,,,,bjo,268.3990311255975,,CRÍTICO,Obstruido,Urbana,Muy Mala,16.7,1
Potosí,3634.0,Kia,Camioneta 4x4,1987.0,38.0,360539.0,38.0,Normal,85.3,8.2,87.6,Óptimo,34.9,12.35,Bueno,Sucio,Carretera Pavimentada,Mala,13.0,1
La Paz,4003.0,Mitsubishi,Sedán,1993.0,32.0,404611.0,31.0,,,,94.0,Bajo,26.8,12.03,Crítico,Sucio,,Regular,12.9,1
Santa Cruz,640.0,Kia,SUV,1999.0,26.0,323968.0,15.0,Normal,82.8,6.4,81.0,Óptimo,33.1,12.32,Desgastad,Limpo,Carretera Pavimentada,Muy Mala,5.9,1
,2515.0,Toyota,Sedán,1993.0,32.0,309737.0,361.0,Normal,86.8,4.8,84.8,,31.5,11.65,Regular,Sucio,Camino de Tierra,Mala,18.1,1
La Paz,3344.0,Chevrolet,SUV,,35.0,421683.0,,Contaminada,67.3,138.4,,Optimo,27.7,11.41,Regular,Sucio,Carretera Pavimentada,Muy Mala,10.5,0
Cochabamba,2601.0,Nissan,camioneta 4x4,2013.0,12.0,168071.0,39.0,Normal,86.0,4.7,95.9,Óptimo,40.1,11.76,Regular,scuio,Ruta Interdepartamental,Mala,30.1,0
La Paz,3423.0,Mazda,MINIBUS,2008.0,17.0,232625.0,53.0,normal,84.6,,,Óptimo,32.5,13.12,Regular,sucio,Urbana,Muy Mala,8.6,1
Santa Cruz,483.0,Kia,Sedán,1994.0,31.0,455658.0,127.0,Contaminada,70.6,112.9,99.9,Bajo,26.7,13.6,Regular,Sucio,Carretera Pavimentada,Mala,8.5,0
Oruro,3768.0,Mitsubishi,Minibús,2008.0,17.0,246468.0,,Contaminada,,132.8,,Óptimo,30.5,11.94,Desgastado,Limpio,Ruta Interdepartamental,Mala,6.5,1
Tarija,1725.0,,Minibús,2003.0,22.0,228429.0,120.0,Normal,85.6,0.0,107.8,Muy Bajo,32.5,12.38,Crítico,Obstruido,Carretera Pavimentada,,20.9,1
Potosí,4135.0,Honda,Sedán,1985.0,40.0,526847.0,179.0,Normal,86.2,8.6,110.4,Óptimo,36.7,11.76,,,Carretera Pavimentada,Mala,3.3,1
Cochabamba,2679.0,,Camioneta 4x4,1995.0,30.0,391718.0,66.0,Norml,,1.5,103.5,,34.1,12.26,Bueno,Limpio,Carretera Pavimentada,Buena,-0.7,1
Sucre,2956.0,Toyota,Sedán,1993.0,32.0,335004.0,710.0,Contaminada,,100.6,111.9,Bajo,32.7,11.44,Bueno,Limpo,Carretera Pavimentada,Buena,-7.1,1
La Paz,3641.0,Toyota,Sedán,1991.0,34.0,335381.0,24.0,Normal,87.2,1.3,107.4,Óptimo,33.4,,Crítico,Obstruido,Urbana,Buena,15.2,1
Trinidad,25.0,toyota,Sedán,1992.0,33.0,351968.0,66.0,Normal,83.7,0.7,80.8,Óptimo,30.6,11.22,Crítico,Sucio,Camino de Tierra,Regular,11.9,1
Santa Cruz,563.0,Onda,Camioneta 4x4,2017.0,8.0,79867.0,232.0,Normal,82.9,,73.9,Muy Bajo,30.9,12.3,Bueno,Limpo,Carretera Pavimentada,Mala,18.8,0
Trinidad,196.0,Toyota,Camión,1998.0,27.0,403313.0,36.0,Degradada,84.9,33.1,79.6,Óptimo,37.4,12.19,Regular,Limpio,Urbana,mala,17.7,1
Santa Cruz,,,Camioneta 4x4,2012.0,13.0,124474.0,180.0,Degradada,82.9,23.1,94.0,bjo,41.8,13.49,Crítico,Limpo,Urbana,Muy Mala,25.0,1
Sucre,3013.0,Suzuki,Camioneta 4x4,1990.0,35.0,368034.0,58.0,,88.7,0.4,97.1,Óptimo,40.4,11.42,,Sucio,Camino de Tierra,Buena,13.4,1
Santa Cruz,731.0,Honda,Sedán,1989.0,36.0,376795.0,25.0,Contaminada,70.9,,97.3,Óptimo,25.6,,Crítico,Sucio,Ruta Interdepartamental,Mala,26.6,1
La Paz,3634.0,Honda,MINIBUS,2014.0,11.0,149306.0,67.0,,85.3,3.9,474.3388428818153,Óptimo,27.4,13.67,Regualr,,Ruta Interdepartamental,Regular,4.9,0
La Paz,3964.0,Hyundai,Camioneta 4x4,1998.0,27.0,266272.0,199.0,Contaminada,79.4,118.5,91.4,Muy Bajo,29.2,11.96,Regular,Limpio,Carretera Pavimentada,Regular,6.0,1
La Paz,3654.0,Honda,Camión,2015.0,10.0,85228.0,15.0,Degradada,80.5,58.8,,Bajo,33.1,,Bueno,SUCIO,Urbana,Mala,1.8,1
Potosí,3910.0,Suzuki,Camión,1986.0,39.0,452084.0,94.0,Degradada,76.4,53.9,89.2,Muy Bajo,24.6,10.62,DESGASTADO,Limpio,Carretera Pavimentada,Regular,,1
Cochabamba,2463.0,,Minibús,2016.0,9.0,96288.0,,Degradada,76.0,47.9,,Óptimo,28.3,12.51,Regular,Limpio,Camino de Tierra,Regular,9.0,1
Oruro,3952.0,Honda,CAMIONETA 4X4,1996.0,29.0,334276.0,181.0,Normal,87.9,8.8,,Bajo,33.2,11.7,Desgastado,Limpio,Ruta Interdepartamental,,19.1,1
Santa Cruz,299.0,Ford,,1989.0,36.0,528399.0,64.0,Normal,,1.1,84.4,Óptimo,,11.42,Desgastado,Obstruido,Camino de Tierra,mla,13.5,0
Cochabamba,2668.0,Honda,Camioneta 4x4,2005.0,20.0,185395.0,81.0,Degradada,84.1,40.4,91.6,Óptimo,33.3,13.59,Desgastado,LIMPIO,Urbana,Buena,15.1,1
Potosí,3883.0,kia,Pickup,2009.0,16.0,149491.0,252.0,Normal,87.2,7.7,94.8,MUY BAJO,35.9,12.38,Regualr,Limpio,Urbana,Mala,23.1,1
Sucre,2741.0,hyundai,SUV,1986.0,39.0,,30.0,Normal,83.4,10.5,113.6,Bajo,36.6,12.06,Desgastado,,Camino de Tierra,Regular,3.1,1
La Paz,3795.0,Mazda,,2022.0,3.0,50998.0,637.0,Normal,92.6,-333.52192185850345,109.9,MuyBajo,33.0,12.85,Bueno,Sucio,Camino de Tierra,Regular,-2.1,1
Santa Cruz,359.0,Chevrolet,Pickup,2006.0,19.0,197741.0,70.0,Degradada,75.9,9229.895697926577,102.9,Óptimo,35.3,11.72,Crítico,Obstruido,Urbana,Mala,21.1,1
La Paz,3579.0,Kia,Minibús,1993.0,32.0,503062.0,41.0,Degradada,,,89.9,Muy Bajo,25.3,12.2,Desgastado,Sucio,Urbana,Mala,9.5,0
Cobija,460.0,Honda,Camioneta 4x4,1989.0,36.0,514776.0,1.0,Normal,86.7,6.5,115.2,Óptimo,34.0,11.21,Desgastado,Limpio,Ruta Interdepartamental,MALA,18.2,1
Santa Cruz,656.0,Chevrolet,Sedán,1995.0,30.0,347596.0,17.0,,88.4,4.5,90.1,,40.2,11.91,Regular,Limpio,Carretera Pavimentada,Mala,19.1,0
La Paz,3737.0,Toyota,Minibús,1991.0,34.0,498327.0,183.0,Norml,84.3,-974.5631703801482,112.8,,,11.55,Regular,Limpio,Urbana,Mala,4.1,1
La Paz,3542.0,Nissan,SUV,1998.0,27.0,337494.0,136.0,Normal,89.1,,104.8,Óptimo,35.6,11.09,Desgastado,Sucio,Camino de Tierra,Regular,15.7,1
Santa Cruz,339.0,Mazda,SUV,2009.0,16.0,212128.0,36.0,Degradada,78.0,,70.4,Bajo,33.3,11.99,Desgastado,Obstruido,Urbana,Mala,19.8,0
Santa Cruz,428.0,Kia,Minibús,2004.0,21.0,275990.0,340.0,Normal,94.3,1.2,,OPTIMO,37.8,11.92,BUENO,Obstruido,Carretera Pavimentada,Regular,29.5,1
Santa Cruz,,Chevrolet,Camioneta 4x4,1997.0,28.0,386450.0,234.0,Normal,88.0,6.9,92.3,Bajo,,11.48,Desgastado,Obstruido,Urbana,muy_mala,6.2,0
Santa Cruz,268.0,Susuki,Camión,1988.0,37.0,348222.0,40.0,Normal,83.7,3.6,83.5,Óptimo,26.6,11.74,Desgastado,Limpio,Camino de Tierra,BUENA,24.3,1
La Paz,3748.0,Mitsubishi,SUV,2019.0,6.0,69269.0,52.0,,84.9,,81.5,Óptimo,38.1,11.39,DESGASTADO,SUCIO,Urbana,muy mala,13.7,1
Cochabamba,2571.0,Suzuki,Camioneta 4x4,1992.0,33.0,454318.0,26.0,Normal,88.5,,93.8,Muy Bajo,22.2,,Crítico,Limpio,Urbana,Mala,4.1,1
La Paz,3383.0,Mazda,Camioneta 4x4,,33.0,365971.0,133.0,Contaminada,67.9,114.4,117.3,Óptimo,22.3,0.0,Desgastado,Obstruido,Camino de Tierra,Mala,2.4,1
Santa Cruz,277.0,Honda,Camión,2004.0,21.0,320169.0,157.0,,79.7,34.6,98.0,ÓPTIMO,35.9,11.98,Bueno,Sucio,Carretera Pavimentada,Buena ,29.1,0
Tarija,1790.0,Susuki,SUV,2008.0,17.0,163354.0,65.0,Normal,92.9,5.3,88.5,Óptimo,,12.51,Desgastado,,Ruta Interdepartamental,Muy Mala,11.7,0
Potosí,3956.0,Kia,SUV,2022.0,3.0,36529.0,173.0,Normal,88.9,3.8,102.1,Bajo,33.0,12.6,BUENO,,Urbana,Muy Mala,-2.5,1
La Paz,77304.5396213577,,Sedán,2020.0,5.0,66046.0,620.0,NORMAL,88.8,8.3,83.3,Bajo,21.6,13.19,Bueno,Sucio,Urbana,Regular,15.1,0
Potosí,4003.0,Nissan,Sedán,2016.0,9.0,118884.0,123.0,Degradada,87.9,46.6,100.1,Óptimo,32.5,12.63,Regular,Limpio,Urbana,Mala,2.6,0
Potosí,3841.0,Suzuki,SUV,1997.0,28.0,,136.0,Contaminada,68.2,81.8,78.9,ÓPTIMO,30.2,11.68,Regular,Limpio,Ruta Interdepartamental,Buena,-0.4,1
Santa Cruz,449.0,Nissan,SUV,1989.0,36.0,540432.0,60.0,Normal,87.0,9.2,79.5,Muy Bajo,0.0,11.36,Crítico,Limpio,,,13.4,1
Tarija,1813.0,Kia,Camioneta 4x4,2001.0,24.0,272092.0,1.0,Normal,86.1,4.6,105.6,Óptimo,24.8,12.93,Bueno,Sucio,Camino de Tierra,Muy Mala,16.4,1
Santa Cruz,465.0,Toyota,Minibús,1985.0,,545484.0,400.0,Normal,85.1,11.3,87.0,bajo,29.3,13.28,Desgastado,limpio,Urbana,Regular,14.4,1
Cochabamba,2645.0,Chevrolet,Pickup,1990.0,35.0,,192.0,Normal,86.2,4.2,999.9,bjo,32.6,,,Limpio,Carretera Pavimentada,BUENA,5.5,0
La Paz,3821.0,Mazda,Pickup,1985.0,40.0,491224.0,154.0,Normal ,85.6,2.6,102.4,Bajo,23.4,12.17,Desgastado,Obstruído,,Regular,13.8,1
Santa Cruz,412.0,Kia,SUV,1990.0,35.0,539431.0,3.0,Normal,85.0,,,Óptimo,26.4,10.94,Bueno,Sucio,Carretera Pavimentada,Mala,20.8,1
Santa Cruz,662.0,Ford,Sedán,1998.0,27.0,,184.0,Contaminada,70.5,117.0,55.0,bjo,,10.83,Desgastado,Obstruido,Camino de Tierra,Regular,21.1,1
Sucre,,Mitsubisi,Camión,,30.0,283130.0,144.0,Degradada,,41.1,88.6,Bjo,,12.87,Crítico,Sucio,Camino de Tierra,Mala,0.8,1
Santa Cruz,310.0,Ford,Sedán,1995.0,30.0,403964.0,109.0,,73.6,101.0,,Muy Bajo,,,Crítico,Sucio,Carretera Pavimentada,Buena,21.3,1
Cochabamba,2889.0,Ford ,pick-up,2011.0,14.0,146820.0,127.0,Normal,84.1,3.6,111.5,Muy Bajo,32.5,12.77,DESGASTADO,Limpio,Carretera Pavimentada,Muy Mala,,1
Cochabamba,2607.0,Nissan,Sedán,2005.0,20.0,225056.0,325.0,Degradada,84.1,69.8,103.7,Óptimo,29.1,13.44,Regular,Obstruido,Camino de Tierra,Muy Mala,24.8,0
Cochabamba,2433.0,Suzuki,CAMIÓN,2017.0,8.0,,1.0,,75.6,112.4,98.6,Óptimo,29.5,13.48,Desgastado,Sucio,Carretera Pavimentada,Mala,21.8,0
La Paz,3888.0,Kia,MiniBus,1997.0,28.0,364710.0,22.0,Norml,88.3,11.4,99.1,Óptimo,38.6,11.8,Desgastado,Sucio,Urbana,Regular,2.7,1
La Paz,3952.0,Honda,SUV,1992.0,33.0,386109.0,292.0,Contaminada,69.7,151.3,86.4,Óptimo,32.5,11.55,Desgastado,Limpio,Carretera Pavimentada,,,0
La Paz,3635.0,Mazda,Minibús,1988.0,37.0,474932.0,1.0,Normal,87.1,4.8,97.4,Óptimo,,11.91,Desgastado,scuio,Carretera Pavimentada,Buena,6.9,0
Tarija,1790.0,Hyundai,Sedán,2005.0,20.0,310672.0,304.0,Contaminada,71.4,139.7,93.7,MUY BAJO,32.6,11.33,Regular,Obstruido,Carretera Pavimentada,Muy Mala,20.4,1
Potosí,3941.0,Ford,Camión,2012.0,13.0,,3.0,Normal,,3.4,114.0,bjo,27.8,12.17,Regular,Limpio,Urbana,Mala,,1
Cochabamba,2665.0,Mitsubishi,Camioneta 4x4,1990.0,35.0,479107.0,196.0,Normal,83.0,8.2,103.7,Óptimo ,31.2,12.54,Regular,Limpio,Carretera Pavimentada,Buena,12.0,0
Santa Cruz,608.0,Suzuki,Camioneta 4x4,2014.0,11.0,120122.0,288.0,Normal,87.3,9.0,91.5,Óptimo,37.5,13.86,Crítico,Obstruido,Urbana,Regular,8.3,0
Oruro,3792.0,Chevrolet,pick-up,1999.0,26.0,293950.0,123.0,NORMAL,88.0,6.8,93.7,Óptimo,26.4,12.8,Regular,Sucio,Camino de Tierra,Mala,5.8,0
Cochabamba,2573.0,Kia,Minibús,1989.0,36.0,535453.0,133.0,Contaminado,79.2,104.8,93.7,Óptimo,29.9,12.59,Crítico,Obstruido,Carretera Pavimentada,Regular,20.7,1
,641.0,Toyota,Camión,2004.0,21.0,244543.0,6.0,Normal,84.0,6.8,71.1,Óptimo,31.6,13.11,Desgastado,Sucio,Urbana,Muy Mala,24.8,0
Oruro,3659.0,Mitsubishi,Minibús,1999.0,26.0,407492.0,30.0,Degradada,75.3,34.6,103.9,optimo,24.5,10.44,Bueno,Limpio,Camino de Tierra,Buena,5.4,0
La Paz,3795.0,Nissan,SUV,1985.0,40.0,503859.0,298.0,Contaminada,76.9,78.4,,Bajo,34.8,11.77,Desgastado,sucio,Camino de Tierra,Muy mala,9.5,1
Potosí,3924.0,Mazda,SUV,1996.0,29.0,442401.0,225.0,Contaminada,64.4,127.8,98.1,Bjo,33.1,10.87,Bueno,,Carretera Pavimentada,Buena,-7.1,1
La Paz,3705.0,Ford,Camión,2009.0,16.0,141740.0,7.0,Contaminada,79.3,71.1,112.3,Óptimo,23.3,11.42,Desgastado,Limpio,Carretera Pavimentada,Mala,23.9,1
Santa Cruz,399.0,honda,Pickup,2000.0,25.0,,217.0,Contaminada,77.9,107.5,95.0,muy bajo,28.5,11.88,Regular,Sucio,Camino de Tierra,Buena,,1
Santa Cruz,408.0,Toyota,Camioneta 4x4,1992.0,33.0,475584.0,71.0,Normal,88.7,6.1,96.9,Bajo,23.9,12.9,Desgastad,Sucio,Camino de Tierra,Mala,19.5,0
Tarija,1809.0,Hyundai,Camión,2017.0,8.0,,106.0,Contaminada,64.4,166.9,108.4,Óptimo,30.4,12.12,Regular,Sucio,Ruta Interdepartamental,Regular,21.2,1
Santa Cruz,618.0,Ford,SUV,1991.0,34.0,449078.0,,Normal,86.5,3.1,101.8,optimo,29.6,11.42,REGULAR,Sucio,Carretera Pavimentada,Mala,2.0,1
Santa Cruz,306.0,Honda,Camioneta 4X4,1992.0,33.0,318662.0,-492.229958452776,Normal,86.8,2.0,91.0,,28.5,11.76,Regular,Sucio,Urbana,,20.1,0
La Paz,3529.0,Nissan,Camioneta 4x4,1994.0,31.0,467547.0,74.0,Normal,,7.4,77.4,Óptimo,28.2,11.85,Crítico,,Carretera Pavimentada,Mala,,1
Santa Cruz,,Nissan,Pickup,2015.0,10.0,119624.0,143.0,Degradada,82.2,,86.0,,,11.22,Regular,Limpio,Camino de Tierra,Buena,7.6,1
Sucre,2957.0,Suzuki,Sedán,1999.0,26.0,246758.0,139.0,,84.8,5.2,98.2,Óptimo,30.3,12.83,Crítico,sucio,Camino de Tierra,Mala,17.9,0
Santa Cruz,58.0,Chevrolete,Camioneta 4x4,2005.0,20.0,237216.0,103.0,Normal,90.2,-300.9723523611053,90.4,Óptimo,33.9,11.98,REGULAR,Sucio,Urbana,Regular,19.4,0
